Inventory Item Details;;;;;;;;;;;;
شركة الكوب الاول;;;;;;;;;;;;
For the period 1 January 2025 to 31 December 2025;;;;;;;;;;;;
;;;;;;;;;;;;
Date;Source;Reference;Contact;Description;Total;Unit Cost Price;Unit Sale Price;Value Movement;QoH Movement;Profit per Item;Revenue Account;Inventory Account
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;1,096.47;40.61;0.00;1,096.47;27.0000;0.00;;635 - مخزون البن الاخضر
22 أكتوبر 2025;Receivable Invoice;INV-4592;شركة لوازم للتجارة والتسويق;Rawanda Natural (1Kg)R221-(bags30k);(395.00);40.61;79.00;(203.05);(5.0000);38.39;202 - مبيعات القهوة المحمصه;635 - مخزون البن الاخضر
05 نوفمبر 2025;Payable Credit Note;7227;امر تحميص مستودع البن الاخضر;Rawanda Natural (1Kg) R221;(487.32);40.61;40.61;(487.32);(12.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
13 نوفمبر 2025;Payable Credit Note;7228;امر تحميص مستودع البن الاخضر;Rawanda Natural (1Kg) R221;(974.64);40.61;40.61;(974.64);(24.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
25 نوفمبر 2025;Receivable Invoice;INV-4782;شركة لوازم للتجارة والتسويق;Rawanda Natural (1Kg)R221-(bags30k);(1,580.00);40.61;79.00;(812.20);(20.0000);38.39;202 - مبيعات القهوة المحمصه;635 - مخزون البن الاخضر
27 نوفمبر 2025;Payable Credit Note;7230;امر تحميص مستودع البن الاخضر;Rawanda Natural (1Kg) R221;(1,502.57);40.61;40.61;(1,502.57);(37.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
10 ديسمبر 2025;Payable Credit Note;7232;امر تحميص مستودع البن الاخضر;Rawanda Natural (1Kg) R221;(487.32);40.61;40.61;(487.32);(12.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
31 ديسمبر 2025;Adjustment;Quantity Increase;;جرد 31/12;406.11;40.61;0.00;406.11;10.0000;0.00;;635 - مخزون البن الاخضر
Total GB002A- قهوة رواندي طبيعة اخضر - Rawanda Natural (1Kg) R221;;;;;(8,838.08);;;(7,878.33);(194.0000);76.78;;
Closing Balance;;;;;0.00;0.00;0.00;568.56;14.0000;0.00;;
;;;;;;;;;;;;
GB002B-قهوة رواندي معالجة اخضر - Rawanda Anaerobicl(1Kg)R121;;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;92,374.23;3,231.0000;0.00;;
06 يناير 2025;Receivable Invoice;INV-2985;فرحان مطر;Rawanda Anaerobicl(1Kg)R121;(391.30);28.59;13.04;(857.70);(30.0000);(15.55);201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
08 مايو 2025;Adjustment;Quantity Decrease;;انتهاء صلاحية الصنف وتم اتلافة;(91,516.53);28.59;0.00;(91,516.53);(3,201.0000);0.00;;635 - مخزون البن الاخضر
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;0.00;0.00;0.00;0.00;0.0000;0.00;;635 - مخزون البن الاخضر
Total GB002B-قهوة رواندي معالجة اخضر - Rawanda Anaerobicl(1Kg)R121;;;;;(91,907.83);;;(92,374.23);(3,231.0000);(15.55);;
Closing Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
;;;;;;;;;;;;
GB003-اوراقا سوبر ناتشورل اخضر - Uraga Super Natural 20 24k carton;;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;0.00;0.00;0.00;0.00;0.0000;0.00;;635 - مخزون البن الاخضر
Total GB003-اوراقا سوبر ناتشورل اخضر - Uraga Super Natural 20 24k carton;;;;;0.00;;;0.00;0.0000;0.00;;
Closing Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
;;;;;;;;;;;;
GB0037- كولمبي كوكا مغسولة - Colombi Regional Suarez Cauca Washed-Co24;;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;169,923.84;7,296.0000;0.00;;
15 يناير 2025;Payable Credit Note;7200;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(279.48);23.29;23.29;(279.48);(12.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
12 فبراير 2025;Payable Credit Note;7204;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(675.41);23.29;23.29;(675.41);(29.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
12 فبراير 2025;Payable Credit Note;7203;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(1,420.69);23.29;23.29;(1,420.69);(61.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
23 فبراير 2025;Receivable Invoice;INV-3246;مؤسسة خطوات التحميص للتجارة;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(4,620.00);23.29;33.00;(3,260.60);(140.0000);9.71;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
13 مارس 2025;Payable Credit Note;7207;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(2,259.13);23.29;23.29;(2,259.13);(97.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
13 مارس 2025;Payable Credit Note;7207;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(1,117.92);23.29;23.29;(1,117.92);(48.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
30 مارس 2025;Adjustment;Quantity Decrease;;"جرد 29/3/2025
";(23.29);23.29;0.00;(23.29);(1.0000);0.00;;635 - مخزون البن الاخضر
17 أبريل 2025;Payable Credit Note;7210;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(4,797.74);23.29;23.29;(4,797.74);(206.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
17 أبريل 2025;Payable Credit Note;7211;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(1,117.92);23.29;23.29;(1,117.92);(48.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
19 مايو 2025;Payable Credit Note;7214;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(558.96);23.29;23.29;(558.96);(24.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
19 مايو 2025;Payable Credit Note;7214;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(894.34);23.29;23.29;(894.34);(38.4000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
28 مايو 2025;Receivable Invoice;INV-3795;مؤسسة خطوات التحميص للتجارة;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(4,620.00);23.29;33.00;(3,260.60);(140.0000);9.71;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
01 يونيو 2025;Receivable Invoice;INV-3811;مؤسسة محمد سليمان لتقديم الوجبات;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(2,310.00);23.29;33.00;(1,630.30);(70.0000);9.71;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
18 يونيو 2025;Payable Credit Note;7217;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(6,195.14);23.29;23.29;(6,195.14);(266.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
24 يونيو 2025;Payable Credit Note;7218;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(1,350.82);23.29;23.29;(1,350.82);(58.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
26 يونيو 2025;Adjustment;Quantity Decrease;;جرد 25/6;(200.29);23.29;0.00;(200.29);(8.6000);0.00;;635 - مخزون البن الاخضر
02 أغسطس 2025;Receivable Invoice;INV-4159;مؤسسة خطوات التحميص للتجارة;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(2,310.00);23.29;33.00;(1,630.30);(70.0000);9.71;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
05 أغسطس 2025;Payable Credit Note;7219;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(3,353.76);23.29;23.29;(3,353.76);(144.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
07 أغسطس 2025;Payable Credit Note;7220;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(1,339.18);23.29;23.29;(1,339.18);(57.5000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
18 أغسطس 2025;Payable Credit Note;7221;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(9,083.10);23.29;23.29;(9,083.10);(390.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
27 أغسطس 2025;Receivable Invoice;INV-4300;مؤسسة خطوات التحميص للتجارة;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(4,620.00);23.29;33.00;(3,260.60);(140.0000);9.71;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
03 سبتمبر 2025;Receivable Invoice;INV-4332;محمصه مرسى;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(2,310.00);23.29;33.00;(1,630.30);(70.0000);9.71;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
14 سبتمبر 2025;Payable Credit Note;7223;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(6,777.39);23.29;23.29;(6,777.39);(291.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
14 سبتمبر 2025;Payable Credit Note;7223;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(111.79);23.29;23.29;(111.79);(4.8000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
16 سبتمبر 2025;Payable Credit Note;7224;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(558.96);23.29;23.29;(558.96);(24.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;1,334.52;23.29;0.00;1,334.52;57.3000;0.00;;635 - مخزون البن الاخضر
16 أكتوبر 2025;Payable Credit Note;7226;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(2,841.38);23.29;23.29;(2,841.38);(122.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
16 أكتوبر 2025;Payable Credit Note;7226;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(1,117.92);23.29;23.29;(1,117.92);(48.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
18 أكتوبر 2025;Receivable Invoice;INV-4568;مؤسسة خطوات التحميص للتجارة;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(2,310.00);23.29;33.00;(1,630.30);(70.0000);9.71;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
13 نوفمبر 2025;Receivable Invoice;INV-4720;مؤسسة خطوات التحميص للتجارة;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(2,310.00);23.29;33.00;(1,630.30);(70.0000);9.71;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
21 نوفمبر 2025;Payable Credit Note;7229;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(335.38);23.29;23.29;(335.38);(14.4000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
10 ديسمبر 2025;Payable Credit Note;7232;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(1,420.69);23.29;23.29;(1,420.69);(61.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
18 ديسمبر 2025;Payable Credit Note;7233;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(1,141.21);23.29;23.29;(1,141.21);(49.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
24 ديسمبر 2025;Payable Credit Note;7234;امر تحميص مستودع البن الاخضر;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(1,141.21);23.29;23.29;(1,141.21);(49.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
24 ديسمبر 2025;Receivable Invoice;INV-4947;مؤسسة خطوات التحميص للتجارة;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(2,310.00);23.29;33.00;(1,630.30);(70.0000);9.71;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
25 ديسمبر 2025;Receivable Invoice;INV-4948;نادر الحربى;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(2,310.00);23.29;33.00;(1,630.30);(70.0000);9.71;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
31 ديسمبر 2025;Receivable Invoice;INV-4988;مقهى ستة اوقيات لتقديم المشروبات;Colombi Regional Suarez Cauca Washed-Co24(bags70k);(6,930.00);23.29;33.00;(4,890.90);(210.0000);9.71;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
31 ديسمبر 2025;Adjustment;Quantity Increase;;جرد 31/12;139.74;23.29;0.00;139.74;6.0000;0.00;;635 - مخزون البن الاخضر
Total GB0037- كولمبي كوكا مغسولة - Colombi Regional Suarez Cauca Washed-Co24;;;;;(85,598.85);;;(74,723.65);(3,208.4000);106.81;;
Closing Balance;;;;;0.00;0.00;0.00;95,200.19;4,087.6000;0.00;;
;;;;;;;;;;;;
GB004-اوراقا سوبر ناتشورل اخضر - Uraga Super Natural  (24K) 220;;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;10,789.11;128.0000;0.00;;
15 يناير 2025;Payable Credit Note;7201;امر تحميص مستودع البن الاخضر;Uraga Super Natural 220(24K);(1,011.48);84.29;84.29;(1,011.48);(12.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
28 يناير 2025;Payable Credit Note;7202;امر تحميص مستودع البن الاخضر;Uraga Super Natural 220(24K);(3,034.44);84.29;84.29;(3,034.44);(36.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
13 مارس 2025;Payable Credit Note;7207;امر تحميص مستودع البن الاخضر;Uraga Super Natural 220(24K);(4,804.53);84.29;84.29;(4,804.53);(57.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
30 مارس 2025;Adjustment;Quantity Increase;;جرد 29/3;84.29;84.29;0.00;84.29;1.0000;0.00;;635 - مخزون البن الاخضر
04 سبتمبر 2025;Payable Credit Note;7222;امر تحميص مستودع البن الاخضر;Uraga Super Natural 220(24K);(2,006.10);84.29;84.29;(2,006.10);(23.8000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;(16.85);84.25;0.00;(16.85);(0.2000);0.00;;635 - مخزون البن الاخضر
Total GB004-اوراقا سوبر ناتشورل اخضر - Uraga Super Natural  (24K) 220;;;;;(10,789.11);;;(10,789.11);(128.0000);0.00;;
Closing Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
;;;;;;;;;;;;
GB00466-كولمبي سودان رومى - ExoticYellow Sudan Rume Natural Felipe Arcila CO24;;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;12,012.00;48.0000;0.00;;
04 يونيو 2025;Payable Credit Note;7215;امر تحميص مستودع البن الاخضر;Exotic Yellow Sudan Rume Natural -Felipe Arcila (1Kg)(bags24k);(1,501.50);250.25;250.25;(1,501.50);(6.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;0.00;0.00;0.00;0.00;0.0000;0.00;;635 - مخزون البن الاخضر
Total GB00466-كولمبي سودان رومى - ExoticYellow Sudan Rume Natural Felipe Arcila CO24;;;;;(1,501.50);;;(1,501.50);(6.0000);0.00;;
Closing Balance;;;;;0.00;0.00;0.00;10,510.50;42.0000;0.00;;
;;;;;;;;;;;;
GB006-اوراقا سوبر ناتشورل اخضر - Uraga Super Natural320;;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;0.00;0.00;0.00;0.00;0.0000;0.00;;635 - مخزون البن الاخضر
Total GB006-اوراقا سوبر ناتشورل اخضر - Uraga Super Natural320;;;;;0.00;;;0.00;0.0000;0.00;;
Closing Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
;;;;;;;;;;;;
GB0145- نانسيبو سيدامو اخضر - Natural Sidomo Nensebo Eth 24(bags60k);;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;174,522.32;5,445.0000;0.00;;
15 يناير 2025;Payable Credit Note;7200;امر تحميص مستودع البن الاخضر;Natural Sidomo Nensebo (1kg)Eth24(bags60k);(7,832.40);32.10;32.10;(7,832.40);(244.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
16 يناير 2025;Receivable Invoice;INV-3032;شركة طول لتقديم المشروبات;"Natural Sidomo Nensebo Eth (bags60k)
عدد 30 خيشة";(81,216.00);32.10;45.12;(57,780.00);(1,800.0000);13.02;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
19 يناير 2025;Receivable Invoice;INV-3055;مقهى اناقة البن لتقديم المشروبات;"Natural Sidomo Nensebo Eth (bags60k)
10خياش";(27,072.00);32.10;45.12;(19,260.00);(600.0000);13.02;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
27 يناير 2025;Receivable Invoice;INV-3090;مقهى اناقة البن لتقديم المشروبات;Natural Sidomo Nensebo Eth 24(bags60k);(27,072.00);32.00;45.12;(19,199.05);(600.0000);13.12;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
28 يناير 2025;Payable Credit Note;7202;امر تحميص مستودع البن الاخضر;Natural Sidomo Nensebo (1kg)Eth24(bags60k);(7,062.00);32.10;32.10;(7,062.00);(220.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
12 فبراير 2025;Payable Credit Note;7203;امر تحميص مستودع البن الاخضر;Natural Sidomo Nensebo (1kg)Eth24(bags60k);(7,832.40);32.10;32.10;(7,832.40);(244.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
16 فبراير 2025;Receivable Invoice;INV-3208;مقهى اناقة البن لتقديم المشروبات;Natural Sidomo Nensebo Eth 24(bags60k);(14,400.00);31.98;48.00;(9,595.24);(300.0000);16.02;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
26 فبراير 2025;Payable Credit Note;7205;امر تحميص مستودع البن الاخضر;Natural Sidomo Nensebo (1kg)Eth24(bags60k) قهوة سعودية;(240.75);32.10;32.10;(240.75);(7.5000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
26 فبراير 2025;Payable Credit Note;7205;امر تحميص مستودع البن الاخضر;Natural Sidomo Nensebo (1kg)Eth24(bags60k);(3,531.00);32.10;32.10;(3,531.00);(110.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
27 فبراير 2025;Receivable Invoice;INV-3284;مقهى اناقة البن لتقديم المشروبات;Natural Sidomo Nensebo Eth (bags60k) 5 خياش;(14,400.00);31.97;48.00;(9,592.15);(300.0000);16.03;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
06 مارس 2025;Receivable Invoice;INV-3308;مقهى اناقة البن لتقديم المشروبات;Natural Sidomo Nensebo Eth 24(bags60k);(14,400.00);31.97;48.00;(9,592.15);(300.0000);16.03;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
11 مارس 2025;Receivable Credit Note;CN-3336;شركة طول لتقديم المشروبات;"Natural Sidomo Nensebo Eth 24(bags60k)
ارجاع 15 خيشة";40,608.18;31.97;45.12;28,776.45;900.0000;0.00;;635 - مخزون البن الاخضر
13 مارس 2025;Payable Credit Note;7206;امر تحميص مستودع البن الاخضر;Natural Sidomo Nensebo (1kg)Eth24(bags60k);(7,832.40);32.10;32.10;(7,832.40);(244.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
14 مارس 2025;Receivable Invoice;INV-3366;مقهى اناقة البن لتقديم المشروبات;Natural Sidomo Nensebo Eth 24(bags60k);(14,400.00);31.95;48.00;(9,585.44);(300.0000);16.05;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
25 مارس 2025;Receivable Invoice;INV-3423;مقهى اناقة البن لتقديم المشروبات;Natural Sidomo Nensebo Eth 24(bags60k);(23,040.00);31.95;48.00;(15,336.69);(480.0000);16.05;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
30 مارس 2025;Adjustment;Quantity Increase;;جرد 29/3;143.78;31.95;0.00;143.78;4.5000;0.00;;635 - مخزون البن الاخضر
10 أبريل 2025;Payable Credit Note;7209;امر تحميص مستودع البن الاخضر;Natural Sidomo Nensebo (1kg)Eth24(bags60k);(3,916.20);32.10;32.10;(3,916.20);(122.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
22 أبريل 2025;Payable Credit Note;7212;امر تحميص مستودع البن الاخضر;Natural Sidomo Nensebo (1kg)Eth24(bags60k);(3,916.20);32.10;32.10;(3,916.20);(122.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
19 مايو 2025;Payable Credit Note;7213;امر تحميص مستودع البن الاخضر;Natural Sidomo Nensebo (1kg)Eth24(bags60k);(11,322.68);31.85;31.85;(11,322.68);(355.5000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;(15.79);31.58;0.00;(15.79);(0.5000);0.00;;635 - مخزون البن الاخضر
Total GB0145- نانسيبو سيدامو اخضر - Natural Sidomo Nensebo Eth 24(bags60k);;;;;(228,749.86);;;(174,522.32);(5,445.0000);119.33;;
Closing Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
;;;;;;;;;;;;
GB0146 -اديدو اخضر - Natural Yirgocheffe Idido Gr.l Eth24 (bags60k);;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;142,019.02;4,318.0000;0.00;;
15 يناير 2025;Payable Credit Note;7200;امر تحميص مستودع البن الاخضر;Natural Yirgocheffe Idido Gr.l(1kg) Eth24 (bags60k);(3,617.90);32.89;32.89;(3,617.90);(110.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
19 يناير 2025;Receivable Invoice;INV-3048;مقهى مذاق لذيذ لتقديم المشروبات;Natural Yirgocheffe Idido Gr.(15خيشه)- (bags60k);(41,895.00);32.89;46.55;(29,601.00);(900.0000);13.66;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
28 يناير 2025;Payable Credit Note;7202;امر تحميص مستودع البن الاخضر;Natural Yirgocheffe Idido Gr.l(1kg) Eth24 (bags60k);(4,045.47);32.89;32.89;(4,045.47);(123.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
12 فبراير 2025;Payable Credit Note;7203;امر تحميص مستودع البن الاخضر;Natural Yirgocheffe Idido Gr.l(1kg) Eth24 (bags60k);(6,018.87);32.89;32.89;(6,018.87);(183.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
13 فبراير 2025;Receivable Invoice;INV-3207;دؤل;Natural Yirgocheffe Idido Gr.l Eth24 (bags60k);(5,880.00);32.89;49.00;(3,946.80);(120.0000);16.11;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
23 فبراير 2025;Receivable Invoice;INV-3246;مؤسسة خطوات التحميص للتجارة;Natural Yirgocheffe Idido Gr.l Eth24 (bags60k);(5,880.00);32.89;49.00;(3,946.80);(120.0000);16.11;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
01 مارس 2025;Receivable Invoice;INV-3267;مقهى مذاق لذيذ لتقديم المشروبات;Natural Yirgocheffe Idido Gr.l Eth24 (bags60k);(27,930.00);32.89;46.55;(19,734.00);(600.0000);13.66;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
13 مارس 2025;Payable Credit Note;7206;امر تحميص مستودع البن الاخضر;Natural Yirgocheffe Idido Gr.l(1kg) Eth24 (bags60k);(12,004.85);32.89;32.89;(12,004.85);(365.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
20 مارس 2025;Receivable Invoice;INV-3385;مقهى مذاق لذيذ لتقديم المشروبات;Natural Yirgocheffe Idido Gr.l Eth24 (bags60k);(27,930.00);32.89;46.55;(19,734.00);(600.0000);13.66;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
30 مارس 2025;Adjustment;Quantity Increase;;"جرد 29/3/2025
";98.67;32.89;0.00;98.67;3.0000;0.00;;635 - مخزون البن الاخضر
10 أبريل 2025;Payable Credit Note;7209;امر تحميص مستودع البن الاخضر;Natural Yirgocheffe Idido Gr.l(1kg) Eth24 (bags60k);(6,380.66);32.89;32.89;(6,380.66);(194.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
